"","name","block","weight","loading","communality","redundancy"
"1","Seal_500","urban.matrix",0.611262897875717,0.980254419882701,0.96089872769957,0
"2","mean_tempNight_summer","urban.matrix",0.418635898620102,0.957411545374276,0.916636867215959,0
"3","Size_Patch","Patch",0.812679182509153,0.893485699118042,0.798316694528456,0
"4","SVF","Patch",0.456303625449116,0.600220461074711,0.360264601892738,0
"5","N","soil",0.747320902608979,0.940168949901527,0.88391765435894,0
"6","P","soil",0.391500593850902,0.759621048922119,0.577024137965541,0
"7","PlantHerb_SR","Plant.div",0.507005075658138,0.776738338813525,0.603322446982794,0.279579494118283
"8","PlantHerb_Cover","Plant.div",0.685152235834971,0.884751866896458,0.782785865976768,0.36274280446086
"9","BGB_C_total","Prod",-0.568063953040715,0.327320685094334,0.107138830890624,0.074994106438913
"10","BGB_C_fine","Prod",0.897860777431084,0.722478693902932,0.521975463143686,0.365367842042824
"11","AGB_C","Prod",0.710251389771459,0.756427665244664,0.572182812747493,0.400511545673933
